model,params,val_mae
Ridge_Regression,{'alpha': 0.01},0.01691295907561124
Ridge_Regression,{'alpha': 0.1},0.016912973993489448
Ridge_Regression,{'alpha': 1.0},0.01691312000921621
Ridge_Regression,{'alpha': 10.0},0.016914304473806235
RF_Regressor,"{'n_estimators': 100, 'max_depth': 5, 'random_state': 42}",0.01659645672963626
RF_Regressor,"{'n_estimators': 200, 'max_depth': 10, 'random_state': 42}",0.01788285369435071
RF_Regressor,"{'n_estimators': 200, 'max_depth': 15, 'random_state': 42}",0.01905373955286062
RF_Regressor,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 42}",0.019035601517139945
GB_Regressor,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'random_state': 42}",0.019317153368830033
GB_Regressor,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'random_state': 42}",0.020060283995396055
GB_Regressor,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'random_state': 42}",0.020830929026793475
GB_Regressor,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'random_state': 42}",0.017499679529499913
